YEAR,STATE,MALE,FEMALE,UNKNOWN,TOTAL,MALE_POPULATION,FEMALE_POPULATION,TOTAL_POPULATION,MALE_RATE,FEMALE_RATE,TOTAL_RATE
2023,Aguascalientes,98,14,2,114,740446,770393,1510839,13.23526631246573,1.8172543104623229,7.545476387623037
2023,Baja California,2309,292,52,2653,2033452,1977058,4010510,113.55075015294187,14.76942001701518,66.15118775417591
2023,Baja California Sur,43,7,0,50,442704,425062,867766,9.713036249954822,1.6468185817598375,5.761921992795293
2023,Campeche,99,16,0,115,467145,483146,950291,21.192563336865422,3.311628369064424,12.101556260135052
2023,Coahuila,113,18,0,131,1654677,1662061,3316738,6.829127376521218,1.0829927421436398,3.94966379617564
2023,Colima,753,140,2,895,374929,382476,757405,200.83802533279635,36.60360388625692,118.1666347594748
2023,Chiapas,562,64,6,632,2905814,3040538,5946352,19.34053590491339,2.1048906476419638,10.628365088376874
2023,Chihuahua,2213,300,4,2517,1968560,1979376,3947936,112.41719835819076,15.15629167980212,63.75483290509269
2023,Ciudad de México,660,90,0,750,4421621,4800016,9221637,14.926652465238428,1.8749937500208331,8.133046225957496
2023,Durango,77,15,0,92,940981,958476,1899457,8.182949496323516,1.564984412755249,4.843489481467599
2023,Guanajuato,3297,556,9,3862,3122295,3300188,6422483,105.59540338116676,16.847525050088056,60.13250638421308
2023,Guerrero,1580,159,4,1743,1735511,1868704,3604215,91.03946906703558,8.50857064575235,48.36004511384587
2023,Hidalgo,334,51,12,397,1549129,1678672,3227801,21.56050270829608,3.038115843952839,12.299395160978015
2023,Jalisco,1585,178,11,1774,4309024,4426487,8735511,36.78327157147419,4.021247549128688,20.3079132978025
2023,Estado de México,2508,410,24,2942,8499818,9001402,17501220,29.506514139479226,4.554846011765723,16.810256656393097
2023,Michoacán,1690,186,10,1886,2413736,2536865,4950601,70.01594209143005,7.331884037976006,38.096384661175485
2023,Morelos,1398,159,0,1557,981324,1049533,2030857,142.46059405456302,15.149595105632695,76.66714101485235
2023,Nayarit,131,18,1,150,641928,652196,1294124,20.407273089816925,2.759906531165478,11.590852190361977
2023,Nuevo León,1240,164,1,1405,3112423,3089730,6202153,39.84034303820528,5.307907163409101,22.65342373849855
2023,Oaxaca,751,98,0,849,2047379,2229390,4276769,36.6810443987166,4.395821278466307,19.851434575961434
2023,Puebla,909,109,4,1022,3326593,3580828,6907421,27.325254396916005,3.043988708756745,14.795681340401863
2023,Querétaro,196,31,0,227,1253655,1304260,2557915,15.63428534963766,2.37682670633156,8.874415295269781
2023,Quintana Roo,642,69,0,711,1017572,1002034,2019606,63.09135864587469,6.885993888430932,35.2048864976634
2023,San Luis Potosí,498,56,6,560,1426318,1504734,2931052,34.915075039367096,3.7215880016002822,19.105768167879656
2023,Sinaloa,592,47,14,653,1556119,1586580,3142699,38.0433630075849,2.9623466828020018,20.77831825446853
2023,Sonora,1316,150,28,1494,1549226,1532508,3081734,84.9456438247228,9.7878771269057,48.47920034629854
2023,Tabasco,248,29,1,278,1199334,1255453,2454787,20.67814303605168,2.3099231910712708,11.324811480588744
2023,Tamaulipas,564,69,68,701,1822922,1862666,3685588,30.93933805176524,3.704367825471663,19.020031539065137
2023,Tlaxcala,122,18,0,140,684227,728668,1412895,17.830339931046275,2.470260804646286,9.908733486918702
2023,Veracruz,717,92,2,811,3909055,4222529,8131584,18.342028955847383,2.178789062194718,9.973456586072285
2023,Yucatán,39,13,0,52,1207481,1244897,2452378,3.229864486480533,1.044263099678126,2.120390902218173
2023,Zacatecas,959,121,9,1089,822755,860258,1683013,116.55960765963135,14.065547777527206,64.70538254903558
2023,Estados Unidos Mexicanos,28243,3739,270,32252,64138153,66997184,131135337,44.03463255326358,5.580831576443571,24.594438644711
